Kod;nazwa;wykształcenie;Wartość i precyzja;Rok;wartosc;Jednostka miary;Atrybut
1863000;powiat Rzeszów;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;10;tys. osób;
1863000;powiat Rzeszów;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;12;tys. osób;
2000000;PODLASKIE;ogółem;wartość liczbowa;2023;272;tys. osób;
2000000;PODLASKIE;wyższe;wartość liczbowa;2023;25;tys. osób;
2000000;PODLASKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;53;tys. osób;
2000000;PODLASKIE;średnie ogólnokształcące;wartość liczbowa;2023;29;tys. osób;
2000000;PODLASKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;52;tys. osób;
2000000;PODLASKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;114;tys. osób;
2061000;powiat Białystok;ogółem;wartość liczbowa;2023;100;tys. osób;
2061000;powiat Białystok;wyższe;wartość liczbowa;2023;23;tys. osób;
2061000;powiat Białystok;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;26;tys. osób;
2061000;powiat Białystok;średnie ogólnokształcące;wartość liczbowa;2023;18;tys. osób;
2061000;powiat Białystok;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;14;tys. osób;
2061000;powiat Białystok;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;21;tys. osób;
2200000;POMORSKIE;ogółem;wartość liczbowa;2023;589;tys. osób;
2200000;POMORSKIE;wyższe;wartość liczbowa;2023;74;tys. osób;
2200000;POMORSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;110;tys. osób;
2200000;POMORSKIE;średnie ogólnokształcące;wartość liczbowa;2023;79;tys. osób;
2200000;POMORSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;147;tys. osób;
2200000;POMORSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;179;tys. osób;
2261000;powiat Gdańsk;ogółem;wartość liczbowa;2023;147;tys. osób;
2261000;powiat Gdańsk;wyższe;wartość liczbowa;2023;34;tys. osób;
2261000;powiat Gdańsk;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;39;tys. osób;
2261000;powiat Gdańsk;średnie ogólnokształcące;wartość liczbowa;2023;23;tys. osób;
2261000;powiat Gdańsk;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;24;tys. osób;
2261000;powiat Gdańsk;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;28;tys. osób;
2400000;ŚLĄSKIE;ogółem;wartość liczbowa;2023;1419;tys. osób;
2400000;ŚLĄSKIE;wyższe;wartość liczbowa;2023;167;tys. osób;
2400000;ŚLĄSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;347;tys. osób;
2400000;ŚLĄSKIE;średnie ogólnokształcące;wartość liczbowa;2023;168;tys. osób;
2400000;ŚLĄSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;420;tys. osób;
2400000;ŚLĄSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;317;tys. osób;
